Id,task_1,task_2
data/test\melanoma\ISIC_0014784.jpg,0.4326233,0.22610492
data/test\melanoma\ISIC_0014790.jpg,0.9998441,1.1249403e-05
data/test\melanoma\ISIC_0014800.jpg,0.31905586,0.009280723
data/test\melanoma\ISIC_0014826.jpg,0.4475694,0.00038245344
data/test\melanoma\ISIC_0014862.jpg,0.21864422,0.18461487
data/test\melanoma\ISIC_0014872.jpg,0.020327555,0.7269993
data/test\melanoma\ISIC_0014883.jpg,0.2528907,0.0012971808
data/test\melanoma\ISIC_0014912.jpg,0.2108519,0.3051472
data/test\melanoma\ISIC_0014928.jpg,0.27408636,0.12736198
data/test\melanoma\ISIC_0014932.jpg,0.30341932,0.0016387773
data/test\melanoma\ISIC_0014963.jpg,0.025957257,0.8293483
data/test\melanoma\ISIC_0014982.jpg,0.3372963,0.15320121
data/test\melanoma\ISIC_0015004.jpg,0.026434917,0.04446667
data/test\melanoma\ISIC_0015041.jpg,0.2664003,0.12359076
data/test\melanoma\ISIC_0015046.jpg,0.30748636,0.036298417
data/test\melanoma\ISIC_0015050.jpg,0.07949974,0.020559084
data/test\melanoma\ISIC_0015071.jpg,0.30440304,0.28979763
data/test\melanoma\ISIC_0015115.jpg,0.31856662,0.19791411
data/test\melanoma\ISIC_0015119.jpg,0.52681464,0.0035558157
data/test\melanoma\ISIC_0015127.jpg,0.60946316,0.000389281
data/test\melanoma\ISIC_0015132.jpg,0.13540804,0.21008815
data/test\melanoma\ISIC_0015133.jpg,0.725492,0.00013360468
data/test\melanoma\ISIC_0015136.jpg,0.48446226,0.0032204841
data/test\melanoma\ISIC_0015142.jpg,0.6329676,0.021799449
data/test\melanoma\ISIC_0015156.jpg,0.2381838,0.29567465
data/test\melanoma\ISIC_0015163.jpg,0.47117826,0.07922713
data/test\melanoma\ISIC_0015167.jpg,0.7702545,0.08532203
data/test\melanoma\ISIC_0015180.jpg,0.1458988,0.22147597
data/test\melanoma\ISIC_0015185.jpg,0.34289756,0.2753062
data/test\melanoma\ISIC_0015193.jpg,0.45347735,0.0008973124
data/test\melanoma\ISIC_0015206.jpg,0.49233347,0.07943995
data/test\melanoma\ISIC_0015229.jpg,0.36366045,0.20639965
data/test\melanoma\ISIC_0015251.jpg,0.19058649,0.32843602
data/test\nevus\ISIC_0012092.jpg,0.22820857,0.0016827416
data/test\nevus\ISIC_0012095.jpg,0.12990554,0.060849883
data/test\nevus\ISIC_0012147.jpg,0.034365475,0.81772536
data/test\nevus\ISIC_0012149.jpg,0.013064357,0.14784762
data/test\nevus\ISIC_0012152.jpg,0.13777186,0.24753007
data/test\nevus\ISIC_0012216.jpg,0.20066087,0.42636436
data/test\nevus\ISIC_0012357.jpg,0.23533456,0.35879874
data/test\nevus\ISIC_0012484.jpg,0.13021688,0.59034455
data/test\nevus\ISIC_0012493.jpg,0.1154628,0.38064507
data/test\nevus\ISIC_0012551.jpg,0.20583764,0.13429846
data/test\nevus\ISIC_0012654.jpg,0.27921233,0.33214477
data/test\nevus\ISIC_0012656.jpg,0.17877182,0.007279383
data/test\nevus\ISIC_0012708.jpg,0.22892584,0.013781449
data/test\nevus\ISIC_0012722.jpg,0.32863414,0.11062461
data/test\nevus\ISIC_0012803.jpg,0.10505562,0.40572268
data/test\nevus\ISIC_0012836.jpg,0.2705063,0.20442641
data/test\nevus\ISIC_0012837.jpg,0.13458179,0.5346163
data/test\nevus\ISIC_0012903.jpg,0.2087045,0.035839103
data/test\nevus\ISIC_0012904.jpg,0.2259899,0.068155155
data/test\nevus\ISIC_0012941.jpg,0.037644777,0.55843204
data/test\nevus\ISIC_0012967.jpg,0.106221154,0.2213824
data/test\nevus\ISIC_0013045.jpg,0.13982065,0.020646317
data/test\nevus\ISIC_0013070.jpg,0.10227323,0.12754464
data/test\nevus\ISIC_0013109.jpg,0.26675615,0.028764974
data/test\nevus\ISIC_0013159.jpg,0.07462802,0.54840565
data/test\nevus\ISIC_0013164.jpg,0.13647035,0.052384946
data/test\nevus\ISIC_0013176.jpg,0.19222945,0.07558235
data/test\nevus\ISIC_0013191.jpg,0.10648934,0.41582623
data/test\nevus\ISIC_0013216.jpg,0.105564885,0.19543087
data/test\nevus\ISIC_0013226.jpg,0.17754836,0.29801986
data/test\nevus\ISIC_0013230.jpg,0.15369348,0.014838263
data/test\nevus\ISIC_0013269.jpg,0.37050933,0.10054395
data/test\nevus\ISIC_0013291.jpg,0.18179357,0.043869056
data/test\nevus\ISIC_0013325.jpg,0.27069476,0.023201607
data/test\nevus\ISIC_0013399.jpg,0.009113934,0.25176275
data/test\nevus\ISIC_0013416.jpg,0.20316464,0.03886784
data/test\nevus\ISIC_0013511.jpg,0.55976224,0.06255123
data/test\nevus\ISIC_0013512.jpg,0.4075455,0.11861999
data/test\nevus\ISIC_0013529.jpg,0.24804175,0.11184603
data/test\nevus\ISIC_0013600.jpg,0.1046963,0.16667753
data/test\nevus\ISIC_0013602.jpg,0.16809346,0.06138119
data/test\nevus\ISIC_0013738.jpg,0.3035443,0.114554465
data/test\nevus\ISIC_0013794.jpg,0.14419466,0.03728549
data/test\nevus\ISIC_0013809.jpg,0.21684664,0.22865531
data/test\nevus\ISIC_0013891.jpg,0.33346516,0.220824
data/test\nevus\ISIC_0013897.jpg,0.30329973,0.3140611
data/test\nevus\ISIC_0013911.jpg,0.15431261,0.14933479
data/test\nevus\ISIC_0013966.jpg,0.20100035,0.48948455
data/test\nevus\ISIC_0013998.jpg,0.23013975,0.27571285
data/test\nevus\ISIC_0014090.jpg,0.13331133,0.26680386
data/test\nevus\ISIC_0014117.jpg,0.31945196,0.1211984
data/test\nevus\ISIC_0014470.jpg,0.105607525,0.5268058
data/test\nevus\ISIC_0014675.jpg,0.3015878,0.11126248
data/test\nevus\ISIC_0014677.jpg,0.18312289,0.0008384525
data/test\nevus\ISIC_0014687.jpg,0.24088115,0.053206068
data/test\nevus\ISIC_0014693.jpg,0.35546118,0.009979142
data/test\nevus\ISIC_0014697.jpg,0.009420843,0.13361801
data/test\nevus\ISIC_0014698.jpg,0.06487673,0.47991318
data/test\nevus\ISIC_0014720.jpg,0.2667105,0.16406296
data/test\nevus\ISIC_0014725.jpg,0.23681119,0.08875415
data/test\nevus\ISIC_0014728.jpg,0.28241947,0.25018522
data/test\nevus\ISIC_0014729.jpg,0.01102891,0.38567892
data/test\nevus\ISIC_0014740.jpg,0.26095283,0.063971266
data/test\nevus\ISIC_0014743.jpg,0.1786112,0.21927164
data/test\nevus\ISIC_0014746.jpg,0.10359927,0.4013448
data/test\nevus\ISIC_0014749.jpg,0.33325472,0.027582355
data/test\nevus\ISIC_0014753.jpg,0.39415553,0.031015698
data/test\nevus\ISIC_0014755.jpg,0.24316847,0.011929092
data/test\nevus\ISIC_0014765.jpg,0.22916012,0.19260985
data/test\nevus\ISIC_0014768.jpg,0.24530406,0.2548074
data/test\nevus\ISIC_0014773.jpg,0.2480677,0.058115996
data/test\nevus\ISIC_0014780.jpg,0.25210425,0.09340775
data/test\nevus\ISIC_0014786.jpg,0.4315834,0.16469088
data/test\nevus\ISIC_0014787.jpg,0.281379,0.113538764
data/test\nevus\ISIC_0014792.jpg,0.08180421,0.6647931
data/test\nevus\ISIC_0014796.jpg,0.26221803,0.29253212
data/test\nevus\ISIC_0014798.jpg,0.17779645,0.3080134
data/test\nevus\ISIC_0014807.jpg,0.5420401,0.0058191023
data/test\nevus\ISIC_0014814.jpg,0.23224634,0.03556998
data/test\nevus\ISIC_0014815.jpg,0.35344487,0.10610141
data/test\nevus\ISIC_0014820.jpg,0.22456147,0.07290937
data/test\nevus\ISIC_0014822.jpg,0.05951021,0.43207332
data/test\nevus\ISIC_0014833.jpg,0.29473028,0.22643304
data/test\nevus\ISIC_0014835.jpg,0.15451415,0.47085422
data/test\nevus\ISIC_0014844.jpg,0.23958883,0.27415687
data/test\nevus\ISIC_0014853.jpg,0.1338774,0.05674881
data/test\nevus\ISIC_0014854.jpg,0.4003107,0.013314038
data/test\nevus\ISIC_0014863.jpg,0.257627,0.2771578
data/test\nevus\ISIC_0014867.jpg,0.17286605,0.10973161
data/test\nevus\ISIC_0014868.jpg,0.1445491,0.2465198
data/test\nevus\ISIC_0014876.jpg,0.016227914,0.11913477
data/test\nevus\ISIC_0014879.jpg,0.13264924,0.03834023
data/test\nevus\ISIC_0014901.jpg,0.3418975,0.08131061
data/test\nevus\ISIC_0014907.jpg,0.026195351,0.0060612094
data/test\nevus\ISIC_0014910.jpg,0.22263822,0.14329192
data/test\nevus\ISIC_0014921.jpg,0.20183079,0.021620013
data/test\nevus\ISIC_0014927.jpg,0.40123516,0.019156568
data/test\nevus\ISIC_0014936.jpg,0.2239379,0.093052186
data/test\nevus\ISIC_0014938.jpg,0.3897078,0.007439068
data/test\nevus\ISIC_0014940.jpg,0.22088785,0.0050517977
data/test\nevus\ISIC_0014941.jpg,0.16533776,0.003674444
data/test\nevus\ISIC_0014942.jpg,0.19477901,0.08174751
data/test\nevus\ISIC_0014943.jpg,0.41693908,0.1252201
data/test\nevus\ISIC_0014944.jpg,0.30760252,0.09643482
data/test\nevus\ISIC_0014947.jpg,0.67546433,0.003561304
data/test\nevus\ISIC_0014948.jpg,0.6135973,0.0132427905
data/test\nevus\ISIC_0014949.jpg,0.20095178,5.795662e-05
data/test\nevus\ISIC_0014952.jpg,0.18420473,0.0061044856
data/test\nevus\ISIC_0014955.jpg,0.37059194,0.020022932
data/test\nevus\ISIC_0014956.jpg,0.36413714,0.015343243
data/test\nevus\ISIC_0014957.jpg,0.20463023,0.007992083
data/test\nevus\ISIC_0014958.jpg,0.105152234,0.119944826
data/test\nevus\ISIC_0014959.jpg,0.2240911,0.0026937162
data/test\nevus\ISIC_0014961.jpg,0.74361455,2.8417636e-13
data/test\nevus\ISIC_0014962.jpg,0.01821562,0.0043839426
data/test\nevus\ISIC_0014964.jpg,0.33886868,0.0010723304
data/test\nevus\ISIC_0014966.jpg,0.33302695,0.14694533
data/test\nevus\ISIC_0014968.jpg,0.2964941,0.014310773
data/test\nevus\ISIC_0014969.jpg,0.13190603,0.097599536
data/test\nevus\ISIC_0014973.jpg,0.4332243,0.0287438
data/test\nevus\ISIC_0014974.jpg,0.18693838,0.3764141
data/test\nevus\ISIC_0014977.jpg,0.20103301,0.25060567
data/test\nevus\ISIC_0014992.jpg,0.25909045,0.00037486316
data/test\nevus\ISIC_0014994.jpg,0.21809594,0.30448636
data/test\nevus\ISIC_0014998.jpg,0.32892817,0.15857485
data/test\nevus\ISIC_0015002.jpg,0.26018,0.19404832
data/test\nevus\ISIC_0015003.jpg,0.39042166,0.07635947
data/test\nevus\ISIC_0015007.jpg,0.17757691,0.37112412
data/test\nevus\ISIC_0015008.jpg,0.30586168,0.23635651
data/test\nevus\ISIC_0015009.jpg,0.84416026,0.0349357
data/test\nevus\ISIC_0015011.jpg,0.17322008,0.06985744
data/test\nevus\ISIC_0015013.jpg,0.19832592,0.21176232
data/test\nevus\ISIC_0015015.jpg,0.37929553,0.0173935
data/test\nevus\ISIC_0015016.jpg,0.32500634,0.08158711
data/test\nevus\ISIC_0015018.jpg,0.19164309,0.38945192
data/test\nevus\ISIC_0015019.jpg,0.18132196,0.33839595
data/test\nevus\ISIC_0015020.jpg,0.20161417,0.50429016
data/test\nevus\ISIC_0015021.jpg,0.22409688,0.35530162
data/test\nevus\ISIC_0015023.jpg,0.30927432,0.0075553767
data/test\nevus\ISIC_0015026.jpg,0.31462586,0.37190238
data/test\nevus\ISIC_0015030.jpg,0.22218476,0.2688778
data/test\nevus\ISIC_0015031.jpg,0.04753904,0.15184341
data/test\nevus\ISIC_0015034.jpg,0.41302902,0.015547156
data/test\nevus\ISIC_0015035.jpg,0.21117882,0.09003132
data/test\nevus\ISIC_0015037.jpg,0.2220574,0.13621224
data/test\nevus\ISIC_0015040.jpg,0.28641093,0.2603556
data/test\nevus\ISIC_0015051.jpg,0.21791208,0.3419569
data/test\nevus\ISIC_0015056.jpg,0.2993148,0.29368597
data/test\nevus\ISIC_0015057.jpg,0.17303324,0.18810706
data/test\nevus\ISIC_0015060.jpg,0.2742866,0.1348796
data/test\nevus\ISIC_0015064.jpg,0.3634487,0.0506765
data/test\nevus\ISIC_0015078.jpg,0.057885226,0.62814665
data/test\nevus\ISIC_0015089.jpg,0.2335765,0.16019577
data/test\nevus\ISIC_0015102.jpg,0.45366302,0.06910107
data/test\nevus\ISIC_0015118.jpg,0.33384597,0.019619204
data/test\nevus\ISIC_0015125.jpg,0.06306396,0.00756818
data/test\nevus\ISIC_0015129.jpg,0.59436756,0.0067082457
data/test\nevus\ISIC_0015130.jpg,0.31676087,0.025779229
data/test\nevus\ISIC_0015139.jpg,0.6044333,0.049456
data/test\nevus\ISIC_0015140.jpg,0.57298565,2.886522e-08
data/test\nevus\ISIC_0015146.jpg,0.37464842,0.0012162958
data/test\nevus\ISIC_0015149.jpg,0.28546375,0.16453175
data/test\nevus\ISIC_0015150.jpg,0.31368157,0.18862866
data/test\nevus\ISIC_0015152.jpg,0.034358826,0.3061017
data/test\nevus\ISIC_0015155.jpg,0.2890937,0.007916031
data/test\nevus\ISIC_0015157.jpg,0.19075416,0.41591543
data/test\nevus\ISIC_0015160.jpg,0.17185193,0.48922676
data/test\nevus\ISIC_0015161.jpg,0.22759832,0.08038809
data/test\nevus\ISIC_0015171.jpg,0.19347866,0.35430378
data/test\nevus\ISIC_0015173.jpg,0.29422238,0.060085952
data/test\nevus\ISIC_0015174.jpg,0.28373232,0.07686375
data/test\nevus\ISIC_0015175.jpg,0.29227933,0.04863399
data/test\nevus\ISIC_0015176.jpg,0.28095907,0.047553107
data/test\nevus\ISIC_0015179.jpg,0.2843116,0.12515493
data/test\nevus\ISIC_0015184.jpg,0.14046915,0.398386
data/test\nevus\ISIC_0015201.jpg,0.09715205,0.011931813
data/test\nevus\ISIC_0015202.jpg,0.0990092,0.060369484
data/test\nevus\ISIC_0015203.jpg,0.3389861,0.014618041
data/test\nevus\ISIC_0015207.jpg,0.3452012,0.10259217
data/test\nevus\ISIC_0015208.jpg,0.32559788,0.02481128
data/test\nevus\ISIC_0015212.jpg,0.25042704,0.14806792
data/test\nevus\ISIC_0015215.jpg,0.15637244,0.05517083
data/test\nevus\ISIC_0015216.jpg,0.29273915,0.38418496
data/test\nevus\ISIC_0015217.jpg,0.1483836,0.041516136
data/test\nevus\ISIC_0015218.jpg,0.2662616,5.6218328e-06
data/test\nevus\ISIC_0015223.jpg,0.5513946,0.0023989195
data/test\nevus\ISIC_0015224.jpg,0.005817872,0.5634682
data/test\nevus\ISIC_0015226.jpg,0.27758077,0.14219227
data/test\nevus\ISIC_0015232.jpg,0.27172756,0.11740828
data/test\nevus\ISIC_0015237.jpg,0.36157325,0.07333236
data/test\nevus\ISIC_0015241.jpg,0.14659181,0.08485343
data/test\nevus\ISIC_0015244.jpg,0.2086587,0.0075932313
data/test\nevus\ISIC_0015245.jpg,0.35207874,0.107967556
data/test\nevus\ISIC_0015250.jpg,0.2195512,0.18523192
data/test\nevus\ISIC_0015254.jpg,0.20733735,0.08952492
data/test\nevus\ISIC_0015255.jpg,0.14576028,0.029962474
data/test\nevus\ISIC_0015258.jpg,0.25605744,0.09922839
data/test\nevus\ISIC_0015264.jpg,0.25945827,0.03993441
data/test\nevus\ISIC_0015270.jpg,0.0861319,0.0018084116
data/test\nevus\ISIC_0015273.jpg,0.40192476,0.0660087
data/test\nevus\ISIC_0015274.jpg,0.3634996,0.022488268
data/test\nevus\ISIC_0015276.jpg,0.2962179,0.16851994
data/test\nevus\ISIC_0015279.jpg,0.12601551,0.20997244
data/test\nevus\ISIC_0015283.jpg,0.2347081,0.112255484
data/test\nevus\ISIC_0015291.jpg,0.28108722,0.11868783
data/test\nevus\ISIC_0015293.jpg,0.13796398,0.16691728
data/test\nevus\ISIC_0015298.jpg,0.13274074,0.1609352
data/test\nevus\ISIC_0015309.jpg,0.4662664,0.13952413
data/test\nevus\ISIC_0015310.jpg,0.2279798,0.2902696
data/test\nevus\ISIC_0015311.jpg,0.31637532,0.0034254596
data/test\nevus\ISIC_0015312.jpg,0.30332658,0.005541927
data/test\nevus\ISIC_0015330.jpg,0.1487465,0.14924194
data/test\nevus\ISIC_0015331.jpg,0.26587108,0.2253682
data/test\nevus\ISIC_0015347.jpg,0.11798037,0.008487798
data/test\nevus\ISIC_0015353.jpg,0.21311599,2.639616e-08
data/test\nevus\ISIC_0015355.jpg,0.12513788,0.12733568
data/test\nevus\ISIC_0015357.jpg,0.24542779,0.18882291
data/test\nevus\ISIC_0015360.jpg,0.17027058,0.097003445
data/test\nevus\ISIC_0015363.jpg,0.53305817,0.039295893
data/test\nevus\ISIC_0015364.jpg,0.39594504,0.096826605
data/test\nevus\ISIC_0015368.jpg,0.27268758,0.029126396
data/test\nevus\ISIC_0015369.jpg,0.29098976,0.10202306
data/test\nevus\ISIC_0015383.jpg,0.21969362,0.003243148
data/test\nevus\ISIC_0015386.jpg,0.31336612,0.04588055
data/test\nevus\ISIC_0015390.jpg,0.21698529,0.44815126
data/test\nevus\ISIC_0015395.jpg,0.24862418,0.050610565
data/test\nevus\ISIC_0015403.jpg,0.21922572,0.3808608
data/test\nevus\ISIC_0015404.jpg,0.44410467,0.025507046
data/test\nevus\ISIC_0015411.jpg,0.18803033,0.03349526
data/test\nevus\ISIC_0015412.jpg,0.13660313,0.29542783
data/test\nevus\ISIC_0015416.jpg,0.34095484,0.03085912
data/test\nevus\ISIC_0015417.jpg,0.3061717,0.09170286
data/test\nevus\ISIC_0015418.jpg,0.22195143,0.19033
data/test\nevus\ISIC_0015419.jpg,0.23510386,0.12174897
data/test\nevus\ISIC_0015436.jpg,0.3459649,0.076794766
data/test\nevus\ISIC_0015440.jpg,0.3784243,0.039375763
data/test\nevus\ISIC_0015447.jpg,0.2379577,0.10854718
data/test\nevus\ISIC_0015455.jpg,0.20850492,0.124816544
data/test\nevus\ISIC_0015464.jpg,0.37018517,0.026932213
data/test\nevus\ISIC_0015466.jpg,0.32905838,0.15824349
data/test\nevus\ISIC_0015468.jpg,0.08867549,0.2748097
data/test\nevus\ISIC_0015476.jpg,0.16744828,0.022394938
data/test\nevus\ISIC_0015481.jpg,0.237951,0.23998652
data/test\nevus\ISIC_0015482.jpg,0.3807337,0.00872704
data/test\nevus\ISIC_0015485.jpg,0.26717392,0.29009673
data/test\nevus\ISIC_0015510.jpg,0.23836124,0.037488893
data/test\nevus\ISIC_0015526.jpg,0.27974445,0.0042185234
data/test\nevus\ISIC_0015537.jpg,0.6028702,4.3325217e-06
data/test\nevus\ISIC_0015544.jpg,0.7461126,0.000110286994
data/test\nevus\ISIC_0015559.jpg,3.6427502e-06,1.7323528e-06
data/test\nevus\ISIC_0015563.jpg,0.298881,0.33251992
data/test\nevus\ISIC_0015566.jpg,0.029214676,0.014431012
data/test\nevus\ISIC_0015568.jpg,0.04729277,0.0012873256
data/test\nevus\ISIC_0015582.jpg,0.2257623,2.2721624e-06
data/test\nevus\ISIC_0015593.jpg,0.033936538,0.06907055
data/test\nevus\ISIC_0015603.jpg,0.25765127,0.27181894
data/test\nevus\ISIC_0015607.jpg,0.2787014,0.32166278
data/test\nevus\ISIC_0015614.jpg,0.17316137,0.6104346
data/test\nevus\ISIC_0015617.jpg,0.27397144,0.11391396
data/test\nevus\ISIC_0015625.jpg,0.22960049,0.08773331
data/test\nevus\ISIC_0015631.jpg,0.31212842,0.038312234
data/test\nevus\ISIC_0015636.jpg,0.28694153,6.901519e-06
data/test\nevus\ISIC_0015638.jpg,0.20500737,4.6760317e-05
data/test\nevus\ISIC_0015641.jpg,0.096521355,5.7173736e-07
data/test\nevus\ISIC_0015645.jpg,0.250055,0.11104448
data/test\nevus\ISIC_0015936.jpg,0.25135908,0.13905719
data/test\nevus\ISIC_0015937.jpg,0.089352354,0.020981679
data/test\nevus\ISIC_0015938.jpg,0.21076556,0.032266207
data/test\nevus\ISIC_0015939.jpg,0.21391009,0.015886988
data/test\nevus\ISIC_0015940.jpg,0.11329832,0.057990026
data/test\nevus\ISIC_0015941.jpg,0.17872201,0.047150645
data/test\nevus\ISIC_0015942.jpg,0.1982065,0.032669503
data/test\nevus\ISIC_0015943.jpg,0.33319616,0.04904085
data/test\nevus\ISIC_0015944.jpg,0.5260875,0.02463647
data/test\nevus\ISIC_0015945.jpg,0.33943093,0.014978259
data/test\nevus\ISIC_0015946.jpg,0.36185881,0.008992305
data/test\nevus\ISIC_0015947.jpg,0.19158936,0.08936314
data/test\nevus\ISIC_0015948.jpg,0.14187284,0.0465384
data/test\nevus\ISIC_0015949.jpg,0.15466082,0.031032387
data/test\nevus\ISIC_0015950.jpg,0.15759636,0.09502543
data/test\nevus\ISIC_0015951.jpg,0.26595283,0.19726184
data/test\nevus\ISIC_0015952.jpg,0.27575415,0.2486523
data/test\nevus\ISIC_0015953.jpg,0.09241488,0.041297738
data/test\nevus\ISIC_0015954.jpg,0.15115206,0.050587118
data/test\nevus\ISIC_0015955.jpg,0.1040468,0.49875024
data/test\nevus\ISIC_0015956.jpg,0.21008873,0.03429236
data/test\nevus\ISIC_0015957.jpg,0.13800727,0.36342236
data/test\nevus\ISIC_0015958.jpg,0.075696476,0.50819683
data/test\nevus\ISIC_0015959.jpg,0.13746837,0.3052125
data/test\nevus\ISIC_0015960.jpg,0.16733974,0.015437325
data/test\nevus\ISIC_0015961.jpg,0.23342387,0.014143467
data/test\nevus\ISIC_0015962.jpg,0.1716439,0.052099988
data/test\nevus\ISIC_0015963.jpg,0.11724489,0.2998016
data/test\nevus\ISIC_0015964.jpg,0.21272431,0.012297536
data/test\nevus\ISIC_0015965.jpg,0.14188245,0.035096396
data/test\nevus\ISIC_0015966.jpg,0.07745209,0.47887066
data/test\nevus\ISIC_0015967.jpg,0.07594824,0.21899642
data/test\nevus\ISIC_0015968.jpg,0.45992827,0.17222539
data/test\nevus\ISIC_0015969.jpg,0.14627124,0.032631345
data/test\nevus\ISIC_0015971.jpg,0.12747714,0.014368692
data/test\nevus\ISIC_0015972.jpg,0.13010116,0.14398608
